,FIRST,SECOND,THIRD,FOURTH,FIFTH,SIXTH,SEVENTH,EIGHTH,NINTH,NEW
1990,69.19,63.73,74.3,69.55,64.31,74.34,67.97,62.03,73.95,bad
2009,68.78,62.87,74.79,69.57,63.65,75.34,66.67,60.86,73.27,bad
2010,68.94,63.09,74.88,69.69,63.82,75.39,66.92,61.19,73.42,bad
2011,69.8314948470864,64.0398828384499,75.6055515716791,70.5091496856634,64.6689797532832,76.1034585609352,67.9943701715407,62.3996055211914,74.2082906191837,bad
2012,70.24,64.56,75.86,70.83,65.1,76.27,68.61,63.12,74.66,bad
2013,70.76,65.13,76.3,71.33,65.64,76.7,69.18,63.75,75.13,bad
2014,70.93,65.29,76.47,71.44,65.75,76.83,69.49,64.07,75.43,good
2015,71.39,65.92,76.71,71.91,66.38,77.09,69.9,64.67,75.59,good
2016,71.87,66.5,77.06,72.35,66.91,77.38,70.5,65.36,76.07,good
2017,72.7,67.51,77.64,73.16,67.9,77.96,71.38,66.43,76.66,good
2018,72.91,67.75,77.82,73.34,68.11,78.09,71.67,66.75,76.93,good
2019,73.34,68.24,78.17,73.72,68.56,78.41,72.21,67.36,77.39,good
